"BCFF11","FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS","11.026.627/0001-38",,"FII","BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM","59.281.253/0001-23","Brasil",0
"GRND3","GRENDENE S.A.","89.850.341/0001-60","ON","AÇÃO","-","-","Brasil",6
"WEGE3","WEG S.A.","84.429.695/0001-11","ON","AÇÃO","-","-","Brasil",10
"BIDI4","BANCO INTER S.A.","00.416.968/0001-01","PN","AÇÃO","-","-","Brasil",0
"ITUB3","ITAU UNIBANCO HOLDING S.A.","60.872.504/0001-23","ON","AÇÃO","-","-","Brasil",9
"FLRY3","FLEURY S.A.","60.840.055/0001-31","ON","AÇÃO","-","-","Brasil",8
"EGIE3","ENGIE BRASIL ENERGIA S.A.","02.474.103/0001-19","ON","AÇÃO","-","-","Brasil",10
"HGLG11","CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII","11.728.688/0001-47",,"FII","CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.","61.809.182/0001-30","Brasil",10
"KNRI11","KINEA RENDA IMOBILIÁRIA - FII","12.005.956/0001-65",,"FII","INTRAG DTVM LTDA.","62.418.140/0001-31","Brasil",10
"HGRE11","CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII","09.072.017/0001-29",,"FII","CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.","61.809.182/0001-30","Brasil",10
"HGBS11","HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO","08.431.747/0001-06",,"FII","HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.","07.253.654/0001-76","Brasil",8
"ABEV3","AMBEV S/A","07.526.557/0001-00","ON","AÇÃO","-","-","Brasil",8
"ODPV3","ODONTOPREV S.A.","58.119.199/0001-51","ON","AÇÃO","-","-","Brasil",6
"MGLU3","MAGAZINE LUIZA S.A.","47.960.950/0001-21","ON","AÇÃO","-","-","Brasil",0
"RADL3","RAIA DROGASIL S.A.","61.585.865/0001-51","ON","AÇÃO","-","-","Brasil",7
"BTCBRL","BITCOIN",,,"CRIPTO",,,"Brasil",1
"ETHBRL","ETHEREUM",,,"CRIPTO",,,"Brasil",1
"XPBR31","XP INC.","35.306.280/0001-45",,"BDR",,,"Brasil",0
"ENBR3",,,,"AÇÃO",,,"Brasil",
"IVVB11",,,,"ETF",,,"Brasil",
"AAPL34",,,,"BDR",,,"Brasil",
"XPML11",,,,"FII",,,"Brasil",
